Evaluate with standard_BM25.txt
runid                 	all	STANDARD
iprec_at_recall_0.40  	all	0.2004
iprec_at_recall_0.50  	all	0.1625
iprec_at_recall_0.60  	all	0.1214
iprec_at_recall_0.70  	all	0.0981
iprec_at_recall_0.80  	all	0.0788
iprec_at_recall_0.90  	all	0.0297
iprec_at_recall_1.00  	all	0.0092
P_5                   	all	0.5200
P_10                  	all	0.4480
P_15                  	all	0.4080
P_20                  	all	0.3820
P_30                  	all	0.3200
P_100                 	all	0.1748
P_200                 	all	0.1118
P_500                 	all	0.0586
P_1000                	all	0.0345

--------------------------------------
Evaluate with whitespace_Boolean.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	485
map                   	all	0.0605
gm_map                	all	0.0164
Rprec                 	all	0.1111
bpref                 	all	0.0881
recip_rank            	all	0.3523
iprec_at_recall_0.00  	all	0.3853
iprec_at_recall_0.10  	all	0.1397
iprec_at_recall_0.20  	all	0.1031
iprec_at_recall_0.30  	all	0.0896
iprec_at_recall_0.40  	all	0.0603
iprec_at_recall_0.50  	all	0.0483
iprec_at_recall_0.60  	all	0.0295
iprec_at_recall_0.70  	all	0.0154
iprec_at_recall_0.80  	all	0.0056
iprec_at_recall_0.90  	all	0.0000
iprec_at_recall_1.00  	all	0.0000
P_5                   	all	0.1840
P_10                  	all	0.1440
P_15                  	all	0.1467
P_20                  	all	0.1480
P_30                  	all	0.1253
P_100                 	all	0.0692
P_200                 	all	0.0504
P_500                 	all	0.0302
P_1000                	all	0.0194

--------------------------------------
Evaluate with whitespace_classic.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	749
map                   	all	0.1427
gm_map                	all	0.0620
Rprec                 	all	0.2080
bpref                 	all	0.1848
recip_rank            	all	0.4955
iprec_at_recall_0.00  	all	0.5612
iprec_at_recall_0.10  	all	0.3158
iprec_at_recall_0.20  	all	0.2402
iprec_at_recall_0.30  	all	0.2029
iprec_at_recall_0.40  	all	0.1528
iprec_at_recall_0.50  	all	0.1239
iprec_at_recall_0.60  	all	0.0871
iprec_at_recall_0.70  	all	0.0662
iprec_at_recall_0.80  	all	0.0309
iprec_at_recall_0.90  	all	0.0098
iprec_at_recall_1.00  	all	0.0010
P_5                   	all	0.3680
P_10                  	all	0.3280
P_15                  	all	0.3040
P_20                  	all	0.2880
P_30                  	all	0.2467
P_100                 	all	0.1320
P_200                 	all	0.0892
P_500                 	all	0.0478
P_1000                	all	0.0300

--------------------------------------
Evaluate with whitespace_LMJ.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	847
map                   	all	0.2143
gm_map                	all	0.1050
Rprec                 	all	0.2710
bpref                 	all	0.2390
recip_rank            	all	0.7332
iprec_at_recall_0.00  	all	0.7657
iprec_at_recall_0.10  	all	0.4831
iprec_at_recall_0.20  	all	0.3573
iprec_at_recall_0.30  	all	0.2730
iprec_at_recall_0.40  	all	0.2091
iprec_at_recall_0.50  	all	0.1630
iprec_at_recall_0.60  	all	0.1425
iprec_at_recall_0.70  	all	0.1080
iprec_at_recall_0.80  	all	0.0833
iprec_at_recall_0.90  	all	0.0520
iprec_at_recall_1.00  	all	0.0101
P_5                   	all	0.4960
P_10                  	all	0.4600
P_15                  	all	0.4213
P_20                  	all	0.3940
P_30                  	all	0.3333
P_100                 	all	0.1820
P_200                 	all	0.1138
P_500                 	all	0.0577
P_1000                	all	0.0339

--------------------------------------
Evaluate with whitespace_LMD.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	823
map                   	all	0.2045
gm_map                	all	0.0966
Rprec                 	all	0.2513
bpref                 	all	0.2255
recip_rank            	all	0.7307
iprec_at_recall_0.00  	all	0.7535
iprec_at_recall_0.10  	all	0.4612
iprec_at_recall_0.20  	all	0.3498
iprec_at_recall_0.30  	all	0.2618
iprec_at_recall_0.40  	all	0.1889
iprec_at_recall_0.50  	all	0.1642
iprec_at_recall_0.60  	all	0.1328
iprec_at_recall_0.70  	all	0.1016
iprec_at_recall_0.80  	all	0.0659
iprec_at_recall_0.90  	all	0.0451
iprec_at_recall_1.00  	all	0.0079
P_5                   	all	0.5280
P_10                  	all	0.4560
P_15                  	all	0.3947
P_20                  	all	0.3560
P_30                  	all	0.3040
P_100                 	all	0.1736
P_200                 	all	0.1072
P_500                 	all	0.0563
P_1000                	all	0.0329

--------------------------------------
Evaluate with custom_BM25.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1478
map                   	all	0.3380
gm_map                	all	0.2691
Rprec                 	all	0.3748
bpref                 	all	0.3345
recip_rank            	all	0.9133
iprec_at_recall_0.00  	all	0.9367
iprec_at_recall_0.10  	all	0.6498
iprec_at_recall_0.20  	all	0.5400
iprec_at_recall_0.30  	all	0.4570
iprec_at_recall_0.40  	all	0.3729
iprec_at_recall_0.50  	all	0.3039
iprec_at_recall_0.60  	all	0.2427
iprec_at_recall_0.70  	all	0.1948
iprec_at_recall_0.80  	all	0.1514
iprec_at_recall_0.90  	all	0.0942
iprec_at_recall_1.00  	all	0.0156
P_5                   	all	0.6400
P_10                  	all	0.6000
P_15                  	all	0.5600
P_20                  	all	0.5180
P_30                  	all	0.4720
P_100                 	all	0.2780
P_200                 	all	0.1930
P_500                 	all	0.1032
P_1000                	all	0.0591

--------------------------------------
Evaluate with custom_Boolean.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1067
map                   	all	0.1258
gm_map                	all	0.0670
Rprec                 	all	0.1734
bpref                 	all	0.1486
recip_rank            	all	0.4496
iprec_at_recall_0.00  	all	0.5126
iprec_at_recall_0.10  	all	0.2901
iprec_at_recall_0.20  	all	0.2155
iprec_at_recall_0.30  	all	0.1712
iprec_at_recall_0.40  	all	0.1457
iprec_at_recall_0.50  	all	0.1200
iprec_at_recall_0.60  	all	0.0812
iprec_at_recall_0.70  	all	0.0502
iprec_at_recall_0.80  	all	0.0361
iprec_at_recall_0.90  	all	0.0147
iprec_at_recall_1.00  	all	0.0050
P_5                   	all	0.2640
P_10                  	all	0.2400
P_15                  	all	0.2373
P_20                  	all	0.2160
P_30                  	all	0.1853
P_100                 	all	0.1268
P_200                 	all	0.0994
P_500                 	all	0.0656
P_1000                	all	0.0427

--------------------------------------
Evaluate with custom_classic.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1236
map                   	all	0.1959
gm_map                	all	0.1470
Rprec                 	all	0.2712
bpref                 	all	0.2324
recip_rank            	all	0.5705
iprec_at_recall_0.00  	all	0.6570
iprec_at_recall_0.10  	all	0.4556
iprec_at_recall_0.20  	all	0.3468
iprec_at_recall_0.30  	all	0.2855
iprec_at_recall_0.40  	all	0.2215
iprec_at_recall_0.50  	all	0.1705
iprec_at_recall_0.60  	all	0.1179
iprec_at_recall_0.70  	all	0.0635
iprec_at_recall_0.80  	all	0.0439
iprec_at_recall_0.90  	all	0.0353
iprec_at_recall_1.00  	all	0.0055
P_5                   	all	0.4640
P_10                  	all	0.4280
P_15                  	all	0.3947
P_20                  	all	0.3740
P_30                  	all	0.3493
P_100                 	all	0.2112
P_200                 	all	0.1422
P_500                 	all	0.0819
P_1000                	all	0.0494

--------------------------------------
Evaluate with custom_LMJ.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1461
map                   	all	0.3248
gm_map                	all	0.2546
Rprec                 	all	0.3762
bpref                 	all	0.3312
recip_rank            	all	0.7383
iprec_at_recall_0.00  	all	0.8163
iprec_at_recall_0.10  	all	0.6279
iprec_at_recall_0.20  	all	0.5347
iprec_at_recall_0.30  	all	0.4541
iprec_at_recall_0.40  	all	0.3696
iprec_at_recall_0.50  	all	0.2943
iprec_at_recall_0.60  	all	0.2474
iprec_at_recall_0.70  	all	0.1930
iprec_at_recall_0.80  	all	0.1423
iprec_at_recall_0.90  	all	0.0943
iprec_at_recall_1.00  	all	0.0231
P_5                   	all	0.5760
P_10                  	all	0.5840
P_15                  	all	0.5573
P_20                  	all	0.5280
P_30                  	all	0.4747
P_100                 	all	0.2776
P_200                 	all	0.1888
P_500                 	all	0.1022
P_1000                	all	0.0584

--------------------------------------
Evaluate with custom_LMD.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1413
map                   	all	0.2940
gm_map                	all	0.2158
Rprec                 	all	0.3335
bpref                 	all	0.2917
recip_rank            	all	0.8193
iprec_at_recall_0.00  	all	0.8401
iprec_at_recall_0.10  	all	0.5744
iprec_at_recall_0.20  	all	0.4708
iprec_at_recall_0.30  	all	0.3823
iprec_at_recall_0.40  	all	0.3131
iprec_at_recall_0.50  	all	0.2570
iprec_at_recall_0.60  	all	0.2200
iprec_at_recall_0.70  	all	0.1855
iprec_at_recall_0.80  	all	0.1218
iprec_at_recall_0.90  	all	0.0818
iprec_at_recall_1.00  	all	0.0202
P_5                   	all	0.6000
P_10                  	all	0.5280
P_15                  	all	0.4880
P_20                  	all	0.4400
P_30                  	all	0.3787
P_100                 	all	0.2396
P_200                 	all	0.1708
P_500                 	all	0.0969
P_1000                	all	0.0565

--------------------------------------
